date,hour,trip_count,avg_duration_min
2024-04-13,15,1028,11.190275291828794
2024-04-13,16,1112,13.342908288369305
2024-04-13,17,1091,11.348133929117019
2024-04-13,18,903,11.818290014765596
2024-04-13,19,767,11.887642785745328
2024-04-13,20,692,11.310203998073218
2024-04-13,21,740,10.872702432432432
2024-04-13,22,843,10.79011330565441
2024-04-13,23,645,10.730361912144703
2024-04-14,0,434,10.236751305683564
2024-04-14,1,428,11.042864524922118
2024-04-14,2,454,11.64394309838473
2024-04-14,3,521,10.219643314139477
2024-04-14,4,449,10.631658203414997
2024-04-14,5,477,11.6789464709993
2024-04-14,6,322,12.801657142857144
2024-04-14,7,279,12.960597013142175
2024-04-14,8,97,13.077535051546391
2024-04-14,9,76,12.37208048245614
2024-04-14,10,86,10.9531753875969
2024-04-14,11,199,11.806196063651592
2024-04-14,12,410,12.612073292682926
2024-04-14,13,853,14.722978956623681
2024-04-14,14,1375,14.843064569696969
2024-04-14,15,1860,16.87375762544803
2024-04-14,16,1977,16.397399595346485
2024-04-14,17,2000,15.423711116666666
2024-04-14,18,1789,14.52397992360723
2024-04-14,19,1425,12.568525964912281
2024-04-14,20,1086,11.997458824432167
2024-04-14,21,685,11.656209635036497
2024-04-14,22,694,11.811124999999999
2024-04-14,23,680,11.773253602941177
2024-04-15,0,630,11.87744970899471
2024-04-15,1,493,12.10796768086545
2024-04-15,2,447,12.384456897837435
2024-04-15,3,284,10.902292781690141
2024-04-15,4,189,12.079101587301588
2024-04-15,5,113,11.02349778761062
2024-04-15,6,58,13.739549712643678
2024-04-15,7,50,11.140936666666667
2024-04-15,8,39,9.838419230769231
2024-04-15,9,115,12.166189275362319
2024-04-15,10,400,12.700222583333334
2024-04-15,11,1227,13.943973947296932
2024-04-15,12,2145,12.250221631701631
2024-04-15,13,1178,11.698203551216752
2024-04-15,14,1011,12.597488048137159
2024-04-15,15,1274,13.167998770277341
2024-04-15,16,1604,13.059722516625103
2024-04-15,17,1585,13.049805993690853
2024-04-15,18,1567,13.929860540310571
2024-04-15,19,1943,14.839238256990907
2024-04-15,20,2857,14.229303972698634
2024-04-15,21,3807,13.806122515541546
2024-04-15,22,2842,12.852770765892565
2024-04-15,23,1605,12.002259574247145
2024-04-16,0,1344,11.989459908234128
2024-04-16,1,998,12.147343102872412
2024-04-16,2,751,11.401114580559254
2024-04-16,3,500,11.277360966666667
2024-04-16,4,210,9.67023119047619
2024-04-16,5,113,10.93079587020649
2024-04-16,6,70,9.812133571428571
2024-04-16,7,45,13.285939629629627
2024-04-16,8,53,9.60279748427673
2024-04-16,9,124,12.949098252688172
2024-04-16,10,522,12.492991283524905
2024-04-16,11,1730,13.761599701348747
2024-04-16,12,2910,13.115763109965634
2024-04-16,13,1502,12.630297447847314
2024-04-16,14,1152,12.778080063657406
2024-04-16,15,1363,13.344786402543408
2024-04-16,16,1767,12.667896717600453
2024-04-16,17,1671,12.968064542190305
2024-04-16,18,1686,13.974077135231317
2024-04-16,19,2020,14.29267053630363
2024-04-16,20,3149,14.872045919339472
2024-04-16,21,4427,14.472240923123259
2024-04-16,22,3359,14.276786985213851
2024-04-16,23,2420,13.017621487603305
2024-04-17,0,1667,12.442546820635872
2024-04-17,1,1289,11.927461042151538
2024-04-17,2,958,11.675020842032012
2024-04-17,3,583,11.263853916523729
2024-04-17,4,323,11.184927244582044
2024-04-17,5,158,11.138509915611815
2024-04-17,6,72,10.252470601851853
2024-04-17,7,51,9.506681045751636
2024-04-17,8,42,12.037953174603174
2024-04-17,9,126,11.639167460317461
2024-04-17,10,499,11.952983500334001
2024-04-17,11,1667,13.964334813037393
2024-04-17,12,2871,12.628655880645537
2024-04-17,13,1474,11.839322161917684
2024-04-17,14,1077,12.005926431445374
2024-04-17,15,1315,13.453880253485426
2024-04-17,16,2063,13.112592397802551
2024-04-17,17,1750,13.288759038095238
2024-04-17,18,1667,13.304410107978404
2024-04-17,19,2506,15.137659676775737
2024-04-17,20,2880,13.671623489583334
2024-04-17,21,3961,13.645759997475384
2024-04-17,22,3183,12.55919120850351
2024-04-17,23,2216,11.990672044223826
2024-04-18,0,1593,12.071581439631723
2024-04-18,1,1294,11.57391939721793
2024-04-18,2,938,11.45095211442786
2024-04-18,3,614,11.315019842562434
2024-04-18,4,354,11.311523352165725
2024-04-18,5,296,13.645162781531532
2024-04-18,6,111,11.924054204204204
2024-04-18,7,75,11.025519333333333
2024-04-18,8,67,11.336703482587064
2024-04-18,9,119,12.257868067226891
2024-04-18,10,516,11.946814179586564
2024-04-18,11,1619,13.124735495161621
2024-04-18,12,2979,12.972508492782813
2024-04-18,13,1692,11.970813780535854
2024-04-18,14,1158,11.955607009211283
2024-04-18,15,1292,12.007684455624355
2024-04-18,16,1429,10.776998950314905
2024-04-18,17,986,9.884777298850576
2024-04-18,18,650,10.816492538461539
2024-04-18,19,790,11.77723246835443
2024-04-18,20,1141,11.232365731814198
2024-04-18,21,1884,11.580440728945506
2024-04-18,22,1834,11.153444856415849
2024-04-18,23,1383,10.93745233791275
2024-04-19,0,1220,11.932754385245902
2024-04-19,1,1066,11.87071454033771
2024-04-19,2,822,10.800869505271693
2024-04-19,3,608,11.941466091008772
2024-04-19,4,407,11.053755405405406
2024-04-19,5,209,12.86291076555024
2024-04-19,6,119,10.625023529411765
2024-04-19,7,106,13.972918710691825
2024-04-19,8,51,10.066991503267973
2024-04-19,9,114,13.42528932748538
2024-04-19,10,290,9.513541781609195
2024-04-19,11,934,12.04515335474661
2024-04-19,12,1693,11.340769462492617
2024-04-19,13,1223,10.987184014717906
2024-04-19,14,1112,11.103525494604318
2024-04-19,15,1431,11.342988597717214
2024-04-19,16,1774,11.512878579481399
2024-04-19,17,1748,11.351774914187642
2024-04-19,18,1546,11.462738206123328
2024-04-19,19,1423,11.050061220426329
2024-04-19,20,1946,11.701211116820831
2024-04-19,21,1935,11.519539000861327
2024-04-19,22,1781,11.892812259030507
2024-04-19,23,1475,11.723433310734464
2024-04-20,0,1161,11.58419654033879
2024-04-20,1,1057,12.330355345316933
2024-04-20,2,854,12.462280893832943
2024-04-20,3,934,11.522184011420414
2024-04-20,4,850,11.780949156862745
2024-04-20,5,734,14.305809673024523
2024-04-20,6,445,13.329209812734083
2024-04-20,7,332,13.928834638554216
2024-04-20,8,156,12.665056196581196
2024-04-20,9,82,11.57262662601626
2024-04-20,10,225,9.590219333333334
2024-04-20,11,370,11.201408963963964
2024-04-20,12,807,12.342557971912434
2024-04-20,13,1289,12.472945862425652
2024-04-20,14,1794,14.049812997027129
2024-04-20,15,2227,14.319866861248316
2024-04-20,16,2530,15.157779505928854
2024-04-20,17,2881,16.300851868564155
2024-04-20,18,3197,16.38046318423522
2024-04-20,19,3093,16.510420153033735
2024-04-20,20,2952,15.858965831074979
2024-04-20,21,2604,13.890900134408602
2024-04-20,22,2271,13.868736731249083
2024-04-20,23,1906,13.320106558237146
2024-04-21,0,1436,12.414829468430826
2024-04-21,1,1052,11.635381194550064
2024-04-21,2,1045,11.593138771929825
2024-04-21,3,918,11.542337563543937
2024-04-21,4,764,11.349388896160558
2024-04-21,5,664,12.200854267068273
2024-04-21,6,475,13.363407789473683
2024-04-21,7,332,12.793097791164659
2024-04-21,8,149,11.114283668903804
2024-04-21,9,96,11.629472569444445
2024-04-21,10,115,8.923542318840578
2024-04-21,11,243,11.503741906721537
2024-04-21,12,504,11.673861805555557
2024-04-21,13,881,12.04064366250473
2024-04-21,14,1256,11.90811462314225
2024-04-21,15,1487,11.71731524321901
2024-04-21,16,1769,13.012859534576974
2024-04-21,17,1708,13.402361319281813
2024-04-21,18,1864,13.31895806509299
2024-04-21,19,1861,13.259514248611858
2024-04-21,20,1782,12.470114450056117
2024-04-21,21,1850,13.151430828828829
2024-04-21,22,1560,13.379341014957264
2024-04-21,23,1249,11.993972631438483
2024-04-22,0,958,11.455924982602644
2024-04-22,1,692,10.973611801541425
